id,rulebreaker_type,category,firstName,pronoun,verb,entityA,entityB,premise1,premise2,conclusion,label
RULEBREAKER_0001263_rb,mt,cities,Lillie,she,was born in,Spain,Madrid,"If Lillie was born in Spain, then she was not born in Madrid.",Lillie was born in Madrid.,Lillie was not born in Spain.,False
RULEBREAKER_0001264_rb,mt,cities,Peterson,he,was born in,Austria,Vienna,"If Peterson was born in Austria, then he was not born in Vienna.",Peterson was born in Vienna.,Peterson was not born in Austria.,False
RULEBREAKER_0001265_rb,mt,cities,Meryem,she,was born in,Indonesia,Jakarta,"If Meryem was born in Indonesia, then she was not born in Jakarta.",Meryem was born in Jakarta.,Meryem was not born in Indonesia.,False
RULEBREAKER_0001266_rb,mt,cities,Maddi,she,was born in,Pakistan,Islamabad,"If Maddi was born in Pakistan, then she was not born in Islamabad.",Maddi was born in Islamabad.,Maddi was not born in Pakistan.,False
RULEBREAKER_0001267_rb,mt,cities,Luna,she,was born in,Brazil,Brasília,"If Luna was born in Brazil, then she was not born in Brasília.",Luna was born in Brasília.,Luna was not born in Brazil.,False
RULEBREAKER_0001268_rb,mt,cities,Aputsiaq,he,was born in,Belgium,City of Brussels,"If Aputsiaq was born in Belgium, then he was not born in City of Brussels.",Aputsiaq was born in City of Brussels.,Aputsiaq was not born in Belgium.,False
RULEBREAKER_0001269_rb,mt,cities,Angeliki,she,was born in,Tajikistan,Dushanbe,"If Angeliki was born in Tajikistan, then she was not born in Dushanbe.",Angeliki was born in Dushanbe.,Angeliki was not born in Tajikistan.,False
RULEBREAKER_0001270_rb,mt,cities,Nagi,he,was born in,North Macedonia,Skopje,"If Nagi was born in North Macedonia, then he was not born in Skopje.",Nagi was born in Skopje.,Nagi was not born in North Macedonia.,False
RULEBREAKER_0001271_rb,mt,cities,Shu-chen,she,was born in,Mozambique,Maputo,"If Shu-chen was born in Mozambique, then she was not born in Maputo.",Shu-chen was born in Maputo.,Shu-chen was not born in Mozambique.,False
RULEBREAKER_0001272_rb,mt,cities,Joe,he,was born in,Nicaragua,Managua,"If Joe was born in Nicaragua, then he was not born in Managua.",Joe was born in Managua.,Joe was not born in Nicaragua.,False
RULEBREAKER_0001273_rb,mt,cities,Amir-Ali,he,was born in,Cuba,Havana,"If Amir-Ali was born in Cuba, then he was not born in Havana.",Amir-Ali was born in Havana.,Amir-Ali was not born in Cuba.,False
RULEBREAKER_0001274_rb,mt,cities,Éabha,she,was born in,Angola,Luanda,"If Éabha was born in Angola, then she was not born in Luanda.",Éabha was born in Luanda.,Éabha was not born in Angola.,False
RULEBREAKER_0001275_rb,mt,cities,Zǐhán,she,was born in,Mauritania,Nouakchott,"If Zǐhán was born in Mauritania, then she was not born in Nouakchott.",Zǐhán was born in Nouakchott.,Zǐhán was not born in Mauritania.,False
RULEBREAKER_0001276_rb,mt,cities,Panagiotis,he,was born in,Barbados,Bridgetown,"If Panagiotis was born in Barbados, then he was not born in Bridgetown.",Panagiotis was born in Bridgetown.,Panagiotis was not born in Barbados.,False
RULEBREAKER_0001277_rb,mt,cities,Eylül,she,was born in,Sweden,Stockholm,"If Eylül was born in Sweden, then she was not born in Stockholm.",Eylül was born in Stockholm.,Eylül was not born in Sweden.,False
RULEBREAKER_0001278_rb,mt,cities,İsmail,he,was born in,Jamaica,Kingston,"If İsmail was born in Jamaica, then he was not born in Kingston.",İsmail was born in Kingston.,İsmail was not born in Jamaica.,False
RULEBREAKER_0001279_rb,mt,cities,Daria,she,was born in,Mongolia,Ulaanbaatar,"If Daria was born in Mongolia, then she was not born in Ulaanbaatar.",Daria was born in Ulaanbaatar.,Daria was not born in Mongolia.,False
RULEBREAKER_0001280_rb,mt,cities,Kabir,he,was born in,United States of America,"Washington, D.C.","If Kabir was born in United States of America, then he was not born in Washington, D.C..","Kabir was born in Washington, D.C..",Kabir was not born in United States of America.,False
RULEBREAKER_0001281_rb,mt,cities,Josefa,she,was born in,Zimbabwe,Harare,"If Josefa was born in Zimbabwe, then she was not born in Harare.",Josefa was born in Harare.,Josefa was not born in Zimbabwe.,False
RULEBREAKER_0001282_rb,mt,cities,Lovro,he,was born in,Antigua and Barbuda,Saint John's,"If Lovro was born in Antigua and Barbuda, then he was not born in Saint John's.",Lovro was born in Saint John's.,Lovro was not born in Antigua and Barbuda.,False
RULEBREAKER_0001283_rb,mt,cities,Hamza,he,was born in,Madagascar,Antananarivo,"If Hamza was born in Madagascar, then he was not born in Antananarivo.",Hamza was born in Antananarivo.,Hamza was not born in Madagascar.,False
RULEBREAKER_0001284_rb,mt,cities,Kadiatou,she,was born in,Chile,Santiago,"If Kadiatou was born in Chile, then she was not born in Santiago.",Kadiatou was born in Santiago.,Kadiatou was not born in Chile.,False
RULEBREAKER_0001285_rb,mt,cities,Ari,he,was born in,Finland,Helsinki,"If Ari was born in Finland, then he was not born in Helsinki.",Ari was born in Helsinki.,Ari was not born in Finland.,False
RULEBREAKER_0001286_rb,mt,cities,Emine,she,was born in,Saudi Arabia,Riyadh,"If Emine was born in Saudi Arabia, then she was not born in Riyadh.",Emine was born in Riyadh.,Emine was not born in Saudi Arabia.,False
RULEBREAKER_0001287_rb,mt,cities,Arjun,he,was born in,Central African Republic,Bangui,"If Arjun was born in Central African Republic, then he was not born in Bangui.",Arjun was born in Bangui.,Arjun was not born in Central African Republic.,False
RULEBREAKER_0001288_rb,mt,cities,Aleksandra,she,was born in,Ecuador,Quito,"If Aleksandra was born in Ecuador, then she was not born in Quito.",Aleksandra was born in Quito.,Aleksandra was not born in Ecuador.,False
RULEBREAKER_0001289_rb,mt,cities,Mehar,she,was born in,Tanzania,Dodoma,"If Mehar was born in Tanzania, then she was not born in Dodoma.",Mehar was born in Dodoma.,Mehar was not born in Tanzania.,False
RULEBREAKER_0001290_rb,mt,cities,Zahir,he,was born in,Somalia,Mogadishu,"If Zahir was born in Somalia, then he was not born in Mogadishu.",Zahir was born in Mogadishu.,Zahir was not born in Somalia.,False
RULEBREAKER_0001291_rb,mt,cities,Melissa,she,was born in,Malawi,Lilongwe,"If Melissa was born in Malawi, then she was not born in Lilongwe.",Melissa was born in Lilongwe.,Melissa was not born in Malawi.,False
RULEBREAKER_0001292_rb,mt,cities,Mustafa,he,was born in,Botswana,Gaborone,"If Mustafa was born in Botswana, then he was not born in Gaborone.",Mustafa was born in Gaborone.,Mustafa was not born in Botswana.,False
RULEBREAKER_0001293_rb,mt,cities,Luiz,he,was born in,Belize,Belmopan,"If Luiz was born in Belize, then he was not born in Belmopan.",Luiz was born in Belmopan.,Luiz was not born in Belize.,False
RULEBREAKER_0001294_rb,mt,cities,Theodor,he,was born in,Senegal,Dakar,"If Theodor was born in Senegal, then he was not born in Dakar.",Theodor was born in Dakar.,Theodor was not born in Senegal.,False
RULEBREAKER_0001295_rb,mt,cities,Princess,she,was born in,Samoa,Apia,"If Princess was born in Samoa, then she was not born in Apia.",Princess was born in Apia.,Princess was not born in Samoa.,False
RULEBREAKER_0001296_rb,mt,cities,Ramazan,he,was born in,Kiribati,South Tarawa,"If Ramazan was born in Kiribati, then he was not born in South Tarawa.",Ramazan was born in South Tarawa.,Ramazan was not born in Kiribati.,False
RULEBREAKER_0001297_rb,mt,cities,Martha,she,was born in,Solomon Islands,Honiara,"If Martha was born in Solomon Islands, then she was not born in Honiara.",Martha was born in Honiara.,Martha was not born in Solomon Islands.,False
RULEBREAKER_0001298_rb,mt,cities,Inuk,he,was born in,Lesotho,Maseru,"If Inuk was born in Lesotho, then he was not born in Maseru.",Inuk was born in Maseru.,Inuk was not born in Lesotho.,False
RULEBREAKER_0001299_rb,mt,cities,Tobias,he,was born in,The Bahamas,Nassau,"If Tobias was born in The Bahamas, then he was not born in Nassau.",Tobias was born in Nassau.,Tobias was not born in The Bahamas.,False
RULEBREAKER_0001300_rb,mt,cities,Esperanza,she,was born in,Tunisia,Tunis,"If Esperanza was born in Tunisia, then she was not born in Tunis.",Esperanza was born in Tunis.,Esperanza was not born in Tunisia.,False
RULEBREAKER_0001301_rb,mt,cities,Maximilian,he,was born in,Nepal,Kathmandu,"If Maximilian was born in Nepal, then he was not born in Kathmandu.",Maximilian was born in Kathmandu.,Maximilian was not born in Nepal.,False
RULEBREAKER_0001302_rb,mt,cities,Álvaro,he,was born in,Qatar,Doha,"If Álvaro was born in Qatar, then he was not born in Doha.",Álvaro was born in Doha.,Álvaro was not born in Qatar.,False
RULEBREAKER_0001303_rb,mt,cities,Jorge,he,was born in,Kazakhstan,Astana,"If Jorge was born in Kazakhstan, then he was not born in Astana.",Jorge was born in Astana.,Jorge was not born in Kazakhstan.,False
RULEBREAKER_0001304_rb,mt,cities,Zümra,she,was born in,East Timor,Dili,"If Zümra was born in East Timor, then she was not born in Dili.",Zümra was born in Dili.,Zümra was not born in East Timor.,False
RULEBREAKER_0001305_rb,mt,cities,Maha,she,was born in,Malaysia,Kuala Lumpur,"If Maha was born in Malaysia, then she was not born in Kuala Lumpur.",Maha was born in Kuala Lumpur.,Maha was not born in Malaysia.,False
RULEBREAKER_0001306_rb,mt,cities,Meriem,she,was born in,Tonga,Nukuʻalofa,"If Meriem was born in Tonga, then she was not born in Nukuʻalofa.",Meriem was born in Nukuʻalofa.,Meriem was not born in Tonga.,False
RULEBREAKER_0001307_rb,mt,cities,Gustavs,he,was born in,Algeria,Algiers,"If Gustavs was born in Algeria, then he was not born in Algiers.",Gustavs was born in Algiers.,Gustavs was not born in Algeria.,False
RULEBREAKER_0001308_rb,mt,cities,Aarav,he,was born in,Saint Vincent and the Grenadines,Kingstown,"If Aarav was born in Saint Vincent and the Grenadines, then he was not born in Kingstown.",Aarav was born in Kingstown.,Aarav was not born in Saint Vincent and the Grenadines.,False
RULEBREAKER_0001309_rb,mt,cities,Sólja,she,was born in,Egypt,Cairo,"If Sólja was born in Egypt, then she was not born in Cairo.",Sólja was born in Cairo.,Sólja was not born in Egypt.,False
RULEBREAKER_0001310_rb,mt,cities,Nils,he,was born in,Trinidad and Tobago,Port of Spain,"If Nils was born in Trinidad and Tobago, then he was not born in Port of Spain.",Nils was born in Port of Spain.,Nils was not born in Trinidad and Tobago.,False
RULEBREAKER_0001311_rb,mt,cities,Vuk,he,was born in,Liechtenstein,Vaduz,"If Vuk was born in Liechtenstein, then he was not born in Vaduz.",Vuk was born in Vaduz.,Vuk was not born in Liechtenstein.,False
RULEBREAKER_0001312_rb,mt,cities,Zoé,she,was born in,Morocco,Rabat,"If Zoé was born in Morocco, then she was not born in Rabat.",Zoé was born in Rabat.,Zoé was not born in Morocco.,False
RULEBREAKER_0001313_rb,mt,cities,Ane,she,was born in,Suriname,Paramaribo,"If Ane was born in Suriname, then she was not born in Paramaribo.",Ane was born in Paramaribo.,Ane was not born in Suriname.,False
RULEBREAKER_0001314_rb,mt,cities,Vugar,he,was born in,Equatorial Guinea,Malabo,"If Vugar was born in Equatorial Guinea, then he was not born in Malabo.",Vugar was born in Malabo.,Vugar was not born in Equatorial Guinea.,False
RULEBREAKER_0001315_rb,mt,cities,Celine,she,was born in,Cape Verde,Praia,"If Celine was born in Cape Verde, then she was not born in Praia.",Celine was born in Praia.,Celine was not born in Cape Verde.,False
RULEBREAKER_0001316_rb,mt,cities,Yìhán,she,was born in,Uzbekistan,Tashkent,"If Yìhán was born in Uzbekistan, then she was not born in Tashkent.",Yìhán was born in Tashkent.,Yìhán was not born in Uzbekistan.,False
RULEBREAKER_0001317_rb,mt,cities,Aoi,he,was born in,United Arab Emirates,Abu Dhabi,"If Aoi was born in United Arab Emirates, then he was not born in Abu Dhabi.",Aoi was born in Abu Dhabi.,Aoi was not born in United Arab Emirates.,False
RULEBREAKER_0001318_rb,mt,cities,Pipaluk,she,was born in,Niger,Niamey,"If Pipaluk was born in Niger, then she was not born in Niamey.",Pipaluk was born in Niamey.,Pipaluk was not born in Niger.,False
RULEBREAKER_0001319_rb,mt,cities,Nikoloz,he,was born in,Turkey,Ankara,"If Nikoloz was born in Turkey, then he was not born in Ankara.",Nikoloz was born in Ankara.,Nikoloz was not born in Turkey.,False
RULEBREAKER_0001320_rb,mt,cities,Abbas,he,was born in,Iran,Tehran,"If Abbas was born in Iran, then he was not born in Tehran.",Abbas was born in Tehran.,Abbas was not born in Iran.,False
RULEBREAKER_0001321_rb,mt,cities,Hussa,she,was born in,Papua New Guinea,Port Moresby,"If Hussa was born in Papua New Guinea, then she was not born in Port Moresby.",Hussa was born in Port Moresby.,Hussa was not born in Papua New Guinea.,False
RULEBREAKER_0001322_rb,mt,cities,Mina,he,was born in,Paraguay,Asunción,"If Mina was born in Paraguay, then he was not born in Asunción.",Mina was born in Asunción.,Mina was not born in Paraguay.,False
RULEBREAKER_0001323_rb,mt,cities,Sumayah,she,was born in,The Gambia,Banjul,"If Sumayah was born in The Gambia, then she was not born in Banjul.",Sumayah was born in Banjul.,Sumayah was not born in The Gambia.,False
RULEBREAKER_0001324_rb,mt,cities,Mila,she,was born in,Kyrgyzstan,Bishkek,"If Mila was born in Kyrgyzstan, then she was not born in Bishkek.",Mila was born in Bishkek.,Mila was not born in Kyrgyzstan.,False
RULEBREAKER_0001325_rb,mt,cities,Soo-ah,she,was born in,Lebanon,Beirut,"If Soo-ah was born in Lebanon, then she was not born in Beirut.",Soo-ah was born in Beirut.,Soo-ah was not born in Lebanon.,False
RULEBREAKER_0001326_rb,mt,cities,Pedro,he,was born in,India,New Delhi,"If Pedro was born in India, then he was not born in New Delhi.",Pedro was born in New Delhi.,Pedro was not born in India.,False
RULEBREAKER_0001327_rb,mt,cities,Mamadou,he,was born in,Marshall Islands,Majuro,"If Mamadou was born in Marshall Islands, then he was not born in Majuro.",Mamadou was born in Majuro.,Mamadou was not born in Marshall Islands.,False
RULEBREAKER_0001328_rb,mt,cities,Lejla,she,was born in,Honduras,Tegucigalpa,"If Lejla was born in Honduras, then she was not born in Tegucigalpa.",Lejla was born in Tegucigalpa.,Lejla was not born in Honduras.,False
RULEBREAKER_0001329_rb,mt,cities,Himari,she,was born in,Germany,Berlin,"If Himari was born in Germany, then she was not born in Berlin.",Himari was born in Berlin.,Himari was not born in Germany.,False
RULEBREAKER_0001330_rb,mt,cities,Beshoi,he,was born in,Croatia,Zagreb,"If Beshoi was born in Croatia, then he was not born in Zagreb.",Beshoi was born in Zagreb.,Beshoi was not born in Croatia.,False
RULEBREAKER_0001331_rb,mt,cities,María Fernanda,she,was born in,Saint Lucia,Castries,"If María Fernanda was born in Saint Lucia, then she was not born in Castries.",María Fernanda was born in Castries.,María Fernanda was not born in Saint Lucia.,False
RULEBREAKER_0001332_rb,mt,cities,Vasileios,he,was born in,Afghanistan,Kabul,"If Vasileios was born in Afghanistan, then he was not born in Kabul.",Vasileios was born in Kabul.,Vasileios was not born in Afghanistan.,False
RULEBREAKER_0001333_rb,mt,cities,Lydia,she,was born in,Burundi,Gitega,"If Lydia was born in Burundi, then she was not born in Gitega.",Lydia was born in Gitega.,Lydia was not born in Burundi.,False
RULEBREAKER_0001334_rb,mt,cities,Tomás,he,was born in,Palau,Ngerulmud,"If Tomás was born in Palau, then he was not born in Ngerulmud.",Tomás was born in Ngerulmud.,Tomás was not born in Palau.,False
RULEBREAKER_0001335_rb,mt,cities,Amara,she,was born in,Republic of the Congo,Brazzaville,"If Amara was born in Republic of the Congo, then she was not born in Brazzaville.",Amara was born in Brazzaville.,Amara was not born in Republic of the Congo.,False
RULEBREAKER_0001336_rb,mt,cities,María del Carmen,she,was born in,Belarus,Minsk,"If María del Carmen was born in Belarus, then she was not born in Minsk.",María del Carmen was born in Minsk.,María del Carmen was not born in Belarus.,False
RULEBREAKER_0001337_rb,mt,cities,María José,she,was born in,Latvia,Riga,"If María José was born in Latvia, then she was not born in Riga.",María José was born in Riga.,María José was not born in Latvia.,False
RULEBREAKER_0001338_rb,mt,cities,Azra,she,was born in,South Korea,Seoul,"If Azra was born in South Korea, then she was not born in Seoul.",Azra was born in Seoul.,Azra was not born in South Korea.,False
RULEBREAKER_0001339_rb,mt,cities,Sultan,she,was born in,Greece,Athens,"If Sultan was born in Greece, then she was not born in Athens.",Sultan was born in Athens.,Sultan was not born in Greece.,False
RULEBREAKER_0001340_rb,mt,cities,Boris,he,was born in,Uruguay,Montevideo,"If Boris was born in Uruguay, then he was not born in Montevideo.",Boris was born in Montevideo.,Boris was not born in Uruguay.,False
RULEBREAKER_0001341_rb,mt,cities,Omar,he,was born in,Russia,Moscow,"If Omar was born in Russia, then he was not born in Moscow.",Omar was born in Moscow.,Omar was not born in Russia.,False
RULEBREAKER_0001342_rb,mt,cities,Ioanna,she,was born in,Eritrea,Asmara,"If Ioanna was born in Eritrea, then she was not born in Asmara.",Ioanna was born in Asmara.,Ioanna was not born in Eritrea.,False
RULEBREAKER_0001343_rb,mt,cities,Kiran,he,was born in,Maldives,Malé,"If Kiran was born in Maldives, then he was not born in Malé.",Kiran was born in Malé.,Kiran was not born in Maldives.,False
RULEBREAKER_0001344_rb,mt,cities,Malik,he,was born in,Ivory Coast,Yamoussoukro,"If Malik was born in Ivory Coast, then he was not born in Yamoussoukro.",Malik was born in Yamoussoukro.,Malik was not born in Ivory Coast.,False
RULEBREAKER_0001345_rb,mt,cities,Evelyn,she,was born in,Estonia,Tallinn,"If Evelyn was born in Estonia, then she was not born in Tallinn.",Evelyn was born in Tallinn.,Evelyn was not born in Estonia.,False
RULEBREAKER_0001346_rb,mt,cities,Rose-Merline,she,was born in,Switzerland,Bern,"If Rose-Merline was born in Switzerland, then she was not born in Bern.",Rose-Merline was born in Bern.,Rose-Merline was not born in Switzerland.,False
RULEBREAKER_0001347_rb,mt,cities,Mattias,he,was born in,Kingdom of Denmark,Copenhagen,"If Mattias was born in Kingdom of Denmark, then he was not born in Copenhagen.",Mattias was born in Copenhagen.,Mattias was not born in Kingdom of Denmark.,False
RULEBREAKER_0001348_rb,mt,cities,Abdulla,he,was born in,Romania,Bucharest,"If Abdulla was born in Romania, then he was not born in Bucharest.",Abdulla was born in Bucharest.,Abdulla was not born in Romania.,False
RULEBREAKER_0001349_rb,mt,cities,Leano,he,was born in,Azerbaijan,Baku,"If Leano was born in Azerbaijan, then he was not born in Baku.",Leano was born in Baku.,Leano was not born in Azerbaijan.,False
RULEBREAKER_0001350_rb,mt,cities,Maximiliano,he,was born in,Bulgaria,Sofia,"If Maximiliano was born in Bulgaria, then he was not born in Sofia.",Maximiliano was born in Sofia.,Maximiliano was not born in Bulgaria.,False
RULEBREAKER_0001351_rb,mt,cities,Dušan,he,was born in,Norway,Oslo,"If Dušan was born in Norway, then he was not born in Oslo.",Dušan was born in Oslo.,Dušan was not born in Norway.,False
RULEBREAKER_0001352_rb,mt,cities,Emily,she,was born in,Bhutan,Thimphu,"If Emily was born in Bhutan, then she was not born in Thimphu.",Emily was born in Thimphu.,Emily was not born in Bhutan.,False
RULEBREAKER_0001353_rb,mt,cities,Lin,she,was born in,Saint Kitts and Nevis,Basseterre,"If Lin was born in Saint Kitts and Nevis, then she was not born in Basseterre.",Lin was born in Basseterre.,Lin was not born in Saint Kitts and Nevis.,False
RULEBREAKER_0001354_rb,mt,cities,Laura,she,was born in,Philippines,Manila,"If Laura was born in Philippines, then she was not born in Manila.",Laura was born in Manila.,Laura was not born in Philippines.,False
RULEBREAKER_0001355_rb,mt,cities,Saga,she,was born in,Ireland,Dublin,"If Saga was born in Ireland, then she was not born in Dublin.",Saga was born in Dublin.,Saga was not born in Ireland.,False
RULEBREAKER_0001356_rb,mt,cities,Juan,he,was born in,Dominican Republic,Santo Domingo,"If Juan was born in Dominican Republic, then he was not born in Santo Domingo.",Juan was born in Santo Domingo.,Juan was not born in Dominican Republic.,False
RULEBREAKER_0001357_rb,mt,cities,Teodor,he,was born in,Australia,Canberra,"If Teodor was born in Australia, then he was not born in Canberra.",Teodor was born in Canberra.,Teodor was not born in Australia.,False
RULEBREAKER_0001358_rb,mt,cities,Lulwa,she,was born in,Federated States of Micronesia,Palikir,"If Lulwa was born in Federated States of Micronesia, then she was not born in Palikir.",Lulwa was born in Palikir.,Lulwa was not born in Federated States of Micronesia.,False
RULEBREAKER_0001359_rb,mt,cities,Viktoriya,she,was born in,Japan,Tokyo,"If Viktoriya was born in Japan, then she was not born in Tokyo.",Viktoriya was born in Tokyo.,Viktoriya was not born in Japan.,False
RULEBREAKER_0001360_rb,mt,cities,Ömer Asaf,he,was born in,Myanmar,Naypyidaw,"If Ömer Asaf was born in Myanmar, then he was not born in Naypyidaw.",Ömer Asaf was born in Naypyidaw.,Ömer Asaf was not born in Myanmar.,False
RULEBREAKER_0001361_rb,mt,cities,Mersana,she,was born in,Portugal,Lisbon,"If Mersana was born in Portugal, then she was not born in Lisbon.",Mersana was born in Lisbon.,Mersana was not born in Portugal.,False
RULEBREAKER_0001362_rb,mt,cities,Joshua,he,was born in,Ukraine,Kyiv,"If Joshua was born in Ukraine, then he was not born in Kyiv.",Joshua was born in Kyiv.,Joshua was not born in Ukraine.,False
RULEBREAKER_0001363_rb,mt,cities,Ji-an,she,was born in,Rwanda,Kigali,"If Ji-an was born in Rwanda, then she was not born in Kigali.",Ji-an was born in Kigali.,Ji-an was not born in Rwanda.,False
RULEBREAKER_0001364_rb,mt,cities,Ao,he,was born in,Grenada,St. George's,"If Ao was born in Grenada, then he was not born in St. George's.",Ao was born in St. George's.,Ao was not born in Grenada.,False
RULEBREAKER_0001365_rb,mt,cities,Jameson,he,was born in,Cameroon,Yaoundé,"If Jameson was born in Cameroon, then he was not born in Yaoundé.",Jameson was born in Yaoundé.,Jameson was not born in Cameroon.,False
RULEBREAKER_0001366_rb,mt,cities,Susan,she,was born in,Zambia,Lusaka,"If Susan was born in Zambia, then she was not born in Lusaka.",Susan was born in Lusaka.,Susan was not born in Zambia.,False
RULEBREAKER_0001367_rb,mt,cities,Ema,she,was born in,Tuvalu,Funafuti,"If Ema was born in Tuvalu, then she was not born in Funafuti.",Ema was born in Funafuti.,Ema was not born in Tuvalu.,False
RULEBREAKER_0001368_rb,mt,cities,Sō,he,was born in,Sudan,Khartoum,"If Sō was born in Sudan, then he was not born in Khartoum.",Sō was born in Khartoum.,Sō was not born in Sudan.,False
RULEBREAKER_0001369_rb,mt,cities,Jan,he,was born in,South Sudan,Juba,"If Jan was born in South Sudan, then he was not born in Juba.",Jan was born in Juba.,Jan was not born in South Sudan.,False
RULEBREAKER_0001370_rb,mt,cities,Angela,she,was born in,Ethiopia,Addis Ababa,"If Angela was born in Ethiopia, then she was not born in Addis Ababa.",Angela was born in Addis Ababa.,Angela was not born in Ethiopia.,False
RULEBREAKER_0001371_rb,mt,cities,Ibrahim,he,was born in,Iceland,Reykjavík,"If Ibrahim was born in Iceland, then he was not born in Reykjavík.",Ibrahim was born in Reykjavík.,Ibrahim was not born in Iceland.,False
RULEBREAKER_0001372_rb,mt,cities,Gita,she,was born in,Moldova,Chișinău,"If Gita was born in Moldova, then she was not born in Chișinău.",Gita was born in Chișinău.,Gita was not born in Moldova.,False
RULEBREAKER_0001373_rb,mt,cities,Uri,he,was born in,São Tomé and Príncipe,São Tomé,"If Uri was born in São Tomé and Príncipe, then he was not born in São Tomé.",Uri was born in São Tomé.,Uri was not born in São Tomé and Príncipe.,False
RULEBREAKER_0001374_rb,mt,cities,Leo,he,was born in,Cyprus,Nicosia,"If Leo was born in Cyprus, then he was not born in Nicosia.",Leo was born in Nicosia.,Leo was not born in Cyprus.,False
RULEBREAKER_0001375_rb,mt,cities,Milica,she,was born in,Guyana,Georgetown,"If Milica was born in Guyana, then she was not born in Georgetown.",Milica was born in Georgetown.,Milica was not born in Guyana.,False
RULEBREAKER_0001376_rb,mt,cities,Alicja,she,was born in,Jordan,Amman,"If Alicja was born in Jordan, then she was not born in Amman.",Alicja was born in Amman.,Alicja was not born in Jordan.,False
RULEBREAKER_0001377_rb,mt,cities,Sebastian,he,was born in,Andorra,Andorra la Vella,"If Sebastian was born in Andorra, then he was not born in Andorra la Vella.",Sebastian was born in Andorra la Vella.,Sebastian was not born in Andorra.,False
RULEBREAKER_0001378_rb,mt,cities,Karam,he,was born in,Serbia,Belgrade,"If Karam was born in Serbia, then he was not born in Belgrade.",Karam was born in Belgrade.,Karam was not born in Serbia.,False
RULEBREAKER_0001379_rb,mt,cities,Tom,he,was born in,Bosnia and Herzegovina,Sarajevo,"If Tom was born in Bosnia and Herzegovina, then he was not born in Sarajevo.",Tom was born in Sarajevo.,Tom was not born in Bosnia and Herzegovina.,False
RULEBREAKER_0001380_rb,mt,cities,Bintou,she,was born in,Kingdom of the Netherlands,Amsterdam,"If Bintou was born in Kingdom of the Netherlands, then she was not born in Amsterdam.",Bintou was born in Amsterdam.,Bintou was not born in Kingdom of the Netherlands.,False
RULEBREAKER_0001381_rb,mt,cities,Jakov,he,was born in,Sierra Leone,Freetown,"If Jakov was born in Sierra Leone, then he was not born in Freetown.",Jakov was born in Freetown.,Jakov was not born in Sierra Leone.,False
RULEBREAKER_0001382_rb,mt,cities,Niharika,she,was born in,Colombia,Bogotá,"If Niharika was born in Colombia, then she was not born in Bogotá.",Niharika was born in Bogotá.,Niharika was not born in Colombia.,False
RULEBREAKER_0001383_rb,mt,cities,Odval,she,was born in,Nauru,Yaren District,"If Odval was born in Nauru, then she was not born in Yaren District.",Odval was born in Yaren District.,Odval was not born in Nauru.,False
RULEBREAKER_0001384_rb,mt,cities,Harry,he,was born in,Canada,Ottawa,"If Harry was born in Canada, then he was not born in Ottawa.",Harry was born in Ottawa.,Harry was not born in Canada.,False
RULEBREAKER_0001385_rb,mt,cities,Nouf,she,was born in,Namibia,Windhoek,"If Nouf was born in Namibia, then she was not born in Windhoek.",Nouf was born in Windhoek.,Nouf was not born in Namibia.,False
RULEBREAKER_0001386_rb,mt,cities,Žan,he,was born in,Bahrain,Manama,"If Žan was born in Bahrain, then he was not born in Manama.",Žan was born in Manama.,Žan was not born in Bahrain.,False
RULEBREAKER_0001387_rb,mt,cities,Luca,he,was born in,Seychelles,Victoria,"If Luca was born in Seychelles, then he was not born in Victoria.",Luca was born in Victoria.,Luca was not born in Seychelles.,False
RULEBREAKER_0001388_rb,mt,cities,Ashraqat,she,was born in,Syria,Damascus,"If Ashraqat was born in Syria, then she was not born in Damascus.",Ashraqat was born in Damascus.,Ashraqat was not born in Syria.,False
RULEBREAKER_0001389_rb,mt,cities,Noa,she,was born in,Kuwait,Kuwait City,"If Noa was born in Kuwait, then she was not born in Kuwait City.",Noa was born in Kuwait City.,Noa was not born in Kuwait.,False
RULEBREAKER_0001390_rb,mt,cities,Yu-jun,he,was born in,Chad,N'Djamena,"If Yu-jun was born in Chad, then he was not born in N'Djamena.",Yu-jun was born in N'Djamena.,Yu-jun was not born in Chad.,False
RULEBREAKER_0001391_rb,mt,cities,Nino,he,was born in,Slovenia,Ljubljana,"If Nino was born in Slovenia, then he was not born in Ljubljana.",Nino was born in Ljubljana.,Nino was not born in Slovenia.,False
RULEBREAKER_0001392_rb,mt,cities,Aarya,she,was born in,Peru,Lima,"If Aarya was born in Peru, then she was not born in Lima.",Aarya was born in Lima.,Aarya was not born in Peru.,False
RULEBREAKER_0001393_rb,mt,cities,Jákup,he,was born in,Democratic Republic of the Congo,Kinshasa,"If Jákup was born in Democratic Republic of the Congo, then he was not born in Kinshasa.",Jákup was born in Kinshasa.,Jákup was not born in Democratic Republic of the Congo.,False
RULEBREAKER_0001394_rb,mt,cities,Dragan,he,was born in,Mexico,Mexico City,"If Dragan was born in Mexico, then he was not born in Mexico City.",Dragan was born in Mexico City.,Dragan was not born in Mexico.,False
RULEBREAKER_0001395_rb,mt,cities,Yìchén,he,was born in,Uganda,Kampala,"If Yìchén was born in Uganda, then he was not born in Kampala.",Yìchén was born in Kampala.,Yìchén was not born in Uganda.,False
